English,Chinese,Source,LineNo
AAAAAAAAA AAAAAAHH!!!,保留原文,07_Glossary/Master_Glossary.md,447
ACCORDING TO INTERNAL MONITORS THERE ARE NO MALFUNCTIONS,依 內部監控 顯示 無 故障,02_Races/Slylandro_Probe.md,148
AGGH!,噁——！,07_Glossary/Master_Glossary.md,444
AIEE!,啊咿——！,02_Races/Ilwrath.md,126
AIEE!,啊,02_Races/Zoq_Fot_Pik.md,143
AIEE!,待譯,08_Translation_Rules/Alien_Speech_Rule.md,38
AIEE!! MY ARMS!! WHO HAS STOLEN MY ARMS!!!,啊咿,02_Races/Umgah.md,145
AIEEE! / AIEEEEE!!!,啊咦咦咦咦──！！！,07_Glossary/Master_Glossary.md,446
ALIEN SPECIES / ALIEN LIFE FORMS / LIFE FORM,外星物種 / 外星生命體 / 生命體,02_Races/Slylandro_Probe.md,146
ALL SYSTEMS REPORT NORMAL FUNCTION,所有系統 回報 正常 功能,02_Races/Slylandro_Probe.md,150
AWK!,呱,02_Races/Yehat.md,125
AWK!,嗄,08_Translation_Rules/Alien_Speech_Rule.md,522
Absorbine Junior,足爽,07_Glossary/Master_Glossary.md,127
Admiral,上將 / 提督,01_World_Lore/Political_System.md,99
Admiral ZEX,澤克斯,07_Glossary/Fixed_Terms.csv,49
Admiral ZEX / General ZEX / ZEX,澤克斯,07_Glossary/Master_Glossary.md,152
Afterburner,後燃器,07_Glossary/Master_Glossary.md,328
Afterburner Trail,後燃燒尾焰,07_Glossary/Tech_Names.md,50
Afterburner Trail,後燃燒尾焰,07_Glossary/Fixed_Terms.csv,111
Agony / Pain,痛苦,02_Races/Ilwrath.md,130
Ah,啊,02_Races/VUX.md,180
Ahhh-YING!,保留原文,07_Glossary/Master_Glossary.md,389
Aiee!,呀依,03_Characters/Fwiffo.md,70
Aieee!,哎唷唷,02_Races/Druuge.md,186
Aieee!,啊咦！,03_Characters/Talking_Pet.md,114
Aieee!,恐懼／驚呼,07_Glossary/Master_Glossary.md,419
Aieee!,待譯,08_Translation_Rules/Alien_Speech_Rule.md,37
Aieee!,Aieee!,07_Glossary/Fixed_Terms.csv,200
Ala-la'la,阿拉-啦-啦,02_Races/Supox.md,182
Alas! / Woe is us!,痛哉！,02_Races/Utwig.md,116
Alliance of Free Stars,自由星系聯盟,07_Glossary/Master_Glossary.md,300
Alliance of Free Stars,自由星系聯盟,07_Glossary/Fixed_Terms.csv,142
Alpha Centauri,半人馬座,06_Locations/Star_Systems.md,40
Alpha Centauri,半人馬座 α,07_Glossary/Place_Names.md,32
Alpha Centauri,半人馬座,09_AI_Prompt/Translate_Lore.md,151
Alpha Centauri,半人馬座 α,07_Glossary/Fixed_Terms.csv,170
Alpha Cerenkov,契倫科夫 α,07_Glossary/Master_Glossary.md,269
Alpha Chenjesu,晶智族星系,06_Locations/Star_Systems.md,50
Alpha Pavonis,孔雀座,06_Locations/Star_Systems.md,39
Alpha Pavonis,孔雀座 α,07_Glossary/Master_Glossary.md,273
Alpha Pavonis,孔雀座 α,07_Glossary/Place_Names.md,35
Alpha Pavonis,孔雀座 α,07_Glossary/Fixed_Terms.csv,173
Alpha Tucanae,阿爾法·杜鵑座,02_Races/Zoq_Fot_Pik.md,160
Alpha Tucanae,杜鵑座,06_Locations/Star_Systems.md,38
Alpha Tucanae,杜鵑座 α,07_Glossary/Master_Glossary.md,272
Alpha Tucanae,杜鵑座 α,07_Glossary/Place_Names.md,34
Alpha Tucanae,杜鵑座 α,07_Glossary/Fixed_Terms.csv,172
Alpha Velae,船帆座 α,07_Glossary/Place_Names.md,40
Androsynth,中已滅絕,00_Project_Control/Dossier_Revision_Progress.md,92
Androsynth,中已滅絕,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,82
Androsynth,無,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,159
Androsynth,安卓辛族,07_Glossary/Master_Glossary.md,59
Androsynth,安卓辛族,07_Glossary/Fixed_Terms.csv,22
Anti-Missile System,反導彈系統,05_Technology/Ship_Modules.md,63
Anti-Missile System,反導彈系統,07_Glossary/Tech_Names.md,112
Antimat Thruster,反物質推進器,05_Technology/Ship_Modules.md,14
Antimat Thruster,反物質推進器,07_Glossary/Tech_Names.md,74
Antimatter,反物質,01_World_Lore/Technology_Level.md,21
Antimatter Cone,反物質錐,07_Glossary/Tech_Names.md,34
Antimatter Cone,反物質錐,07_Glossary/Fixed_Terms.csv,94
Antimatter Spray,反物質吐射,07_Glossary/Tech_Names.md,57
Antimatter Spray,反物質吐射,07_Glossary/Fixed_Terms.csv,117
Aqua Helix,水靈螺旋,02_Races/Thraddash.md,183
Aqua Helix,蔚藍螺旋,07_Glossary/Master_Glossary.md,228
Aqua Helix,蔚藍螺旋,07_Glossary/Tech_Names.md,15
Arcturus,大角星,06_Locations/Star_Systems.md,43
Arcturus,大角星,07_Glossary/Master_Glossary.md,277
Arcturus,大角星,07_Glossary/Place_Names.md,29
Arcturus,大角星,09_AI_Prompt/Translate_Lore.md,148
Arcturus,大角星,07_Glossary/Fixed_Terms.csv,167
Arilou,半正式,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,60
Arilou,阿麗露,07_Glossary/Master_Glossary.md,52
Arilou,阿麗露,07_Glossary/Fixed_Terms.csv,13
Arilou Lalee'lay,阿麗露拉利雷,02_Races/Arilou.md,137
Arilou Lalee'lay,阿麗露·萊蕾,07_Glossary/Fixed_Terms.csv,14
Ariloulaleelay,阿里羅拉利雷,02_Races/Umgah.md,142
"Arrgh, you hideous monsters, vegetarians, defilers of the leaf!",啊,02_Races/Supox.md,190
Augh! / AUGH!,噁！,07_Glossary/Master_Glossary.md,443
Augh! / Ugh! / Yuck!,噁,02_Races/VUX.md,115
Auto-Tracking,自動追蹤,01_World_Lore/Technology_Level.md,43
Auto-Tracking Module,自動追蹤模組,07_Glossary/Master_Glossary.md,369
Autotracking Laser,自動追蹤雷射,07_Glossary/Tech_Names.md,43
Autotracking Laser,自動追蹤雷射,07_Glossary/Fixed_Terms.csv,104
Avatar,復仇號,07_Glossary/Fixed_Terms.csv,65
Avatar / Avatar-class fighting ship,化身艦,02_Races/Chmmr.md,110
Avatar / Avenger,復仇號,04_Ships/Alliance_Ships.md,138
