Category,English,Variant,arilou,chmmr,commander,deathmarch,defeated,druuge,final,gamestrings,ilwrath,intro,kohrah,melnorme,mycon,orz,pkunk,probe,safeones,setupmenu,shofixti,slylandro,spathi,starbase,suicide,supox,surrendered,syreen,talkingpet,thraddash,umgah,urquan,utwig,vux,yehat,yehatrebels,zoqfotpik,Total
race,Ur-Quan,烏寬族,11,31,0,0,0,0,0,0,17,1,0,0,0,0,0,0,10,0,0,0,0,1,0,5,0,20,0,0,0,1,17,0,0,0,0,114
race,Ur-Quan,烏寬,8,0,23,1,0,0,2,0,0,3,29,67,0,0,5,0,4,2,12,7,30,54,0,0,0,2,37,41,10,15,1,2,10,12,10,387
race,Kzer-Za,烏寬克澤札,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
race,Kzer-Za,克澤札,0,0,0,1,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,30
race,Kohr-Ah,烏寬柯亞,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
race,Kohr-Ah,柯亞族,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22,0,0,3,0,0,0,0,0,0,0,0,35
race,Kohr-Ah,柯亞,0,0,0,2,0,0,1,0,0,0,6,21,0,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,19,37,0,0,0,15,111
race,Chenjesu,晶智族,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,1,3,33
race,Mmrnmhrm,姆姆族,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,15
race,Chmmr,查姆族,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8
race,Chmmr,查姆,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
race,Shofixti,修烈士族,2,1,0,0,0,2,0,0,0,0,0,10,0,0,0,0,1,0,2,0,4,6,0,0,0,1,0,0,0,0,0,6,5,12,0,52
race,Shofixti,修烈士,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,18
race,Yehat,翼哈特族,3,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,28
race,Yehat,翼哈特,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,31
race,Arilou,阿麗露,10,0,0,0,0,0,0,0,0,0,0,3,0,7,1,0,0,0,0,0,0,12,0,0,0,1,6,0,3,0,0,0,0,0,0,43
race,Syreen,塞蓮族,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,15
race,Syreen,塞蓮,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
race,Spathi,史怕族,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,0,0,19,6,0,0,0,0,0,0,2,1,0,0,1,0,0,48
