Voice Term,arilou,chmmr,commander,deathmarch,defeated,druuge,final,gamestrings,ilwrath,intro,kohrah,melnorme,mycon,orz,pkunk,probe,safeones,setupmenu,shofixti,slylandro,spathi,starbase,suicide,supox,surrendered,syreen,talkingpet,thraddash,umgah,urquan,utwig,vux,yehat,yehatrebels,zoqfotpik,Total
我方,11,17,45,0,0,70,0,0,12,0,25,51,29,20,90,25,45,0,4,1,38,237,0,123,0,10,2,308,14,6,49,16,18,6,13,1285
我們,161,0,18,0,0,1,4,0,0,5,0,0,55,0,80,0,0,0,0,102,6,1,0,0,0,21,20,18,0,3,98,48,0,0,145,786
我族,0,0,0,0,0,0,0,0,0,0,130,0,0,0,132,0,97,0,0,6,7,0,0,0,0,157,30,2,0,110,0,52,96,69,0,888
我等,0,85,0,0,0,2,0,0,184,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,277
咱們,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,3,19
咱倆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
咱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
吾等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
爾,3,0,0,0,0,1,0,1,0,0,1,3,2,0,2,0,2,0,0,3,0,3,0,1,0,0,0,1,1,0,3,0,1,2,3,33
爾等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
汝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
之,52,0,7,7,0,127,2,1,49,2,19,33,12,6,107,4,25,2,6,25,21,31,0,37,0,12,14,16,6,13,68,0,0,0,16,720
乃,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
哉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
焉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
此等,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
彼等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
敝方,0,0,0,0,0,56,0,0,0,0,0,178,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
敝下,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
敝人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本人,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,43
本座,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本官,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,103
本尊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,242
小的,0,0,0,0,0,0,0,0,1,0,0,3,0,0,7,0,1,0,0,0,105,2,0,0,0,0,2,3,1,0,0,2,0,0,1,128
本蟹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
俺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
本武士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
本商號,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
本合約代表人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
