category,english,chinese,notes,source
race,Ur-Quan,烏寬族,可簡稱「烏寬」,shipped_v0.3
race,Ur-Quan Kzer-Za,烏寬克澤札,簡稱「克澤札」,shipped_v0.3
race,Kzer-Za,克澤札,,shipped_v0.3
race,Ur-Quan Kohr-Ah,烏寬柯亞,簡稱「柯亞」,shipped_v0.3
race,Kohr-Ah,柯亞族,,shipped_v0.3
race,Chenjesu,晶智族,非「蒼捷蘇」,shipped_v0.3_chmmr
race,Mmrnmhrm,姆姆族,,shipped_v0.3_chmmr
race,Chmmr,查姆族,,shipped_v0.3_chmmr
race,Shofixti,修烈士族,非「蘇菲斯特族」（shipped v0.3 舊）;修=修行/烈士=神風自爆,v0.4_user
race,Yehat,翼哈特族,非「葉哈特族」（shipped v0.3 舊）;翼=鳥人翅膀,v0.4_user
race,Yehat Rebels,翼哈特叛軍,,v0.4_user
race,Arilou,阿麗露,無「族」字,shipped_v0.3_arilou
race,Arilou Lalee'lay,阿麗露·萊蕾,,shipped_v0.3_arilou
race,Syreen,塞蓮族,,shipped_v0.3_syreen
race,Spathi,史怕族,,shipped_v0.3_spathi
race,Safe Ones,平安族,史怕族自稱,v0.2
race,Umgah,陰嘎族,非「阿姆嘎族」（shipped v0.3 舊）;陰=陰險/嘎=hee-hee-hee 陰笑,v0.4_user
race,Mycon,麥孔族,shofixti.json _notes 誤植為梅蒙族,shipped_v0.3
race,VUX,VUX,保留原文全大寫無「族」字,shipped_v0.3
race,Ilwrath,蛛狂族,,shipped_v0.3_ilwrath
race,Androsynth,安卓辛族,,shipped_v0.3_commander
race,Utwig,憂特族,,shipped_v0.3_druuge
race,Supox,蘇菩族,非「蘇波族」（shipped v0.3 舊）；菩=菩薩式優雅,v0.4_user
race,Pkunk,普恩族,,shipped_v0.3_pkunk
race,Thraddash,撻伐族,非「撒達許族」（shipped v0.3 舊）/「斯拉達族」（v0.2）;撻=鞭打/伐=攻打,v0.4_user
race,Slylandro,斯萊族,,shipped_v0.3_slylandro
race,Slylandro Probe,探測器,v0.8 canonical 升版（原「斯萊探測器」與跨檔 89 次「探測器」bare 用法不一致 · 統一改用 bare「探測器」· 也統一 shipped「探測機」variant 為「探測器」）,v0.8
race,Druuge,毒賈族,非「德魯族」（shipped v0.3 舊）；毒=惡毒奴役/賈=商人,v0.4_user
race,Melnorme,梅諾商,無「族」字；非「梅爾諾」（shipped v0.3 舊）；商=商人本質,v0.4_user
race,Orz,歐茲族,非「奧茲」,shipped_v0.3_orz
race,Zoq-Fot-Pik,佐-佛-皮,保留連字號結構,v0.2
race,Dnyarri,蟾亞族,非「尼亞里」（shipped v0.3 舊）;蟾=蟾蜍/亞=nya 音+居人下,v0.4_user
race,Talking Pet,會話寵,,v0.2
race,Taalo,塔洛族,,shipped_v0.3_orz
race,Precursor,先驅者,,v0.2
race,Precursors,先驅者,,v0.2
race,Burvixese,布維族,,v0.2
race,Drall,卓爾族,,v0.2
race,Faz,法茲族,,v0.2
race,Gg,Gg 族,保留原文無元音無法音譯,v0.2
race,Mael-Num,梅努族,,v0.2
character,Commander Hayes,海斯艦長,可簡稱「海斯」,v0.2
character,Cdr. Hayes,海斯艦長,,v0.2
character,Talana,泰蘭娜,,v0.2
character,Fwiffo,費佛,,v0.2
